path,methods,source_files
/api/account/acceptTOS,get,src/api/account/acceptTOS.php
/api/account/basicDetails,post,src/api/account/basicDetails.php
/api/account/calendar-export,post,src/api/account/calendar-export.php
/api/account/changePass,post,src/api/account/changePass.php
/api/account/destroyTokens,post,src/api/account/destroyTokens.php
/api/account/disconnectOAuth,post,src/api/account/disconnectOAuth.php
/api/account/emailViewer,post,src/api/account/emailViewer.php
/api/account/forcePasswordChange,post,src/api/account/forcePasswordChange.php
/api/account/isDefaultAccountEnabled,get,src/api/account/isDefaultAccountEnabled.php
/api/account/notifications,post,src/api/account/notifications.php
/api/account/oauth-link/google,get,src/api/account/oauth-link/google.php
/api/account/oauth-link/microsoft,get,src/api/account/oauth-link/microsoft.php
/api/account/passwordReset,post,src/api/account/passwordReset.php
/api/account/permissions,post,src/api/account/permissions.php
/api/account/reSendVerificationEmail,get,src/api/account/reSendVerificationEmail.php
/api/account/softDelete,post,src/api/account/softDelete.php
/api/account/suspend,post,src/api/account/suspend.php
/api/account/theme,post,src/api/account/theme.php
/api/account/thumbnail,post,src/api/account/thumbnail.php
/api/account/verifyEmail,post,src/api/account/verifyEmail.php
/api/account/viewSiteAs,post,src/api/account/viewSiteAs.php
/api/account/viewSiteAs_terminate,get,src/api/account/viewSiteAs_terminate.php
/api/account/widgetToggle,post,src/api/account/widgetToggle.php
/api/apiHead,"get,post",src/api/apiHead.php
/api/apiHeadSecure,post,src/api/apiHeadSecure.php
/api/assets/archive,post,src/api/assets/archive.php
/api/assets/barcodes/assign,post,src/api/assets/barcodes/assign.php
/api/assets/barcodes/delete,post,src/api/assets/barcodes/delete.php
/api/assets/barcodes/index,post,src/api/assets/barcodes/index.php
/api/assets/barcodes/search,post,src/api/assets/barcodes/search.php
/api/assets/delete,post,src/api/assets/delete.php
/api/assets/editAsset,post,src/api/assets/editAsset.php
/api/assets/editAssetType,post,src/api/assets/editAssetType.php
/api/assets/editAssetTypeDefinableFields,post,src/api/assets/editAssetTypeDefinableFields.php
/api/assets/export,post,src/api/assets/export.php
/api/assets/getAssetTypeData,post,src/api/assets/getAssetTypeData.php
/api/assets/list,post,src/api/assets/list.php
/api/assets/newAssetFromType,post,src/api/assets/newAssetFromType.php
/api/assets/newAssetType,post,src/api/assets/newAssetType.php
/api/assets/searchAssets,post,src/api/assets/searchAssets.php
/api/assets/searchAssetsBarcode,get,src/api/assets/searchAssetsBarcode.php
/api/assets/searchType,post,src/api/assets/searchType.php
/api/assets/substitutions,post,src/api/assets/substitutions.php
/api/assets/transfer,post,src/api/assets/transfer.php
/api/barcodes/searchAsset,post,src/api/barcodes/searchAsset.php
/api/categories/edit,post,src/api/categories/edit.php
/api/categories/groups/edit,post,src/api/categories/groups/edit.php
/api/categories/groups/new,post,src/api/categories/groups/new.php
/api/categories/new,post,src/api/categories/new.php
/api/categories/search,post,src/api/categories/search.php
/api/clients/archive,post,src/api/clients/archive.php
/api/clients/edit,post,src/api/clients/edit.php
/api/clients/new,post,src/api/clients/new.php
/api/clients/unarchive,post,src/api/clients/unarchive.php
/api/cms/editPageConfig,post,src/api/cms/editPageConfig.php
/api/cms/editPageContent,post,src/api/cms/editPageContent.php
/api/cms/editPageContent-rollback,post,src/api/cms/editPageContent-rollback.php
/api/cms/editPageRank,post,src/api/cms/editPageRank.php
/api/cms/get,post,src/api/cms/get.php
/api/cms/list,get,src/api/cms/list.php
/api/cms/setCustomDashboard,post,src/api/cms/setCustomDashboard.php
/api/file/avatarGen,get,src/api/file/avatarGen.php
/api/file/delete,post,src/api/file/delete.php
/api/file/index,post,src/api/file/index.php
/api/file/removeShare,post,src/api/file/removeShare.php
/api/file/rename,post,src/api/file/rename.php
/api/file/share,post,src/api/file/share.php
/api/groups/addAsset,post,src/api/groups/addAsset.php
/api/groups/edit,post,src/api/groups/edit.php
/api/groups/new,post,src/api/groups/new.php
/api/groups/removeAsset,post,src/api/groups/removeAsset.php
/api/groups/search,post,src/api/groups/search.php
/api/groups/watch,post,src/api/groups/watch.php
/api/icons/getIcons,post,src/api/icons/getIcons.php
/api/instances/addUser,post,src/api/instances/addUser.php
/api/instances/addUserFromCode,post,src/api/instances/addUserFromCode.php
/api/instances/addUserFromTrustedDomain,post,src/api/instances/addUserFromTrustedDomain.php
/api/instances/archiveUser,post,src/api/instances/archiveUser.php
/api/instances/assetAssignmentStatus/delete,post,src/api/instances/assetAssignmentStatus/delete.php
/api/instances/assetAssignmentStatus/edit,post,src/api/instances/assetAssignmentStatus/edit.php
/api/instances/assetAssignmentStatus/new,post,src/api/instances/assetAssignmentStatus/new.php
/api/instances/assetAssignmentStatus/reorder,post,src/api/instances/assetAssignmentStatus/reorder.php
/api/instances/billing/billingPortal,get,src/api/instances/billing/billingPortal.php
/api/instances/billing/getPrices,get,src/api/instances/billing/getPrices.php
/api/instances/billing/postSubscribeDelay,get,src/api/instances/billing/postSubscribeDelay.php
/api/instances/billing/subscribe,post,src/api/instances/billing/subscribe.php
/api/instances/billing/webhooks,get,src/api/instances/billing/webhooks.php
/api/instances/calendar-export,post,src/api/instances/calendar-export.php
/api/instances/delete,post,src/api/instances/delete.php
/api/instances/editCalendarSettings,post,src/api/instances/editCalendarSettings.php
/api/instances/editInstance,post,src/api/instances/editInstance.php
/api/instances/editInstancePublicSite,post,src/api/instances/editInstancePublicSite.php
/api/instances/editInstanceServerAdmin,post,src/api/instances/editInstanceServerAdmin.php
/api/instances/editInstanceTrustedDomains,post,src/api/instances/editInstanceTrustedDomains.php
/api/instances/editUser,post,src/api/instances/editUser.php
/api/instances/list,get,src/api/instances/list.php
/api/instances/new,post,src/api/instances/new.php
/api/instances/permanentlyDelete,post,src/api/instances/permanentlyDelete.php
/api/instances/projectStatus/edit,post,src/api/instances/projectStatus/edit.php
/api/instances/projectStatus/editPageRank,post,src/api/instances/projectStatus/editPageRank.php
/api/instances/projectStatus/new,post,src/api/instances/projectStatus/new.php
/api/instances/projectTypes/edit,post,src/api/instances/projectTypes/edit.php
/api/instances/projectTypes/new,post,src/api/instances/projectTypes/new.php
/api/instances/removeUser,post,src/api/instances/removeUser.php
/api/instances/searchUser,post,src/api/instances/searchUser.php
/api/instances/signupCodes/edit,post,src/api/instances/signupCodes/edit.php
/api/instances/signupCodes/new,post,src/api/instances/signupCodes/new.php
/api/instances/signupCodes/taken,get,src/api/instances/signupCodes/taken.php
/api/instances/switch,post,src/api/instances/switch.php
/api/instances/unDelete,post,src/api/instances/unDelete.php
/api/instances/users,get,src/api/instances/users.php
/api/locations/archive,post,src/api/locations/archive.php
/api/locations/edit,post,src/api/locations/edit.php
/api/locations/new,post,src/api/locations/new.php
/api/locations/unarchive,post,src/api/locations/unarchive.php
/api/login/forgotPassword,post,src/api/login/forgotPassword.php
/api/login/login,post,src/api/login/login.php
/api/login/loginAjaxHead,get,src/api/login/loginAjaxHead.php
/api/login/magicLogin,post,src/api/login/magicLogin.php
/api/login/signup,post,src/api/login/signup.php
/api/maintenance/job/addAsset,post,src/api/maintenance/job/addAsset.php
/api/maintenance/job/changeBlock,post,src/api/maintenance/job/changeBlock.php
/api/maintenance/job/changeDueDate,post,src/api/maintenance/job/changeDueDate.php
/api/maintenance/job/changeFlag,post,src/api/maintenance/job/changeFlag.php
/api/maintenance/job/changeJobAssigned,post,src/api/maintenance/job/changeJobAssigned.php
/api/maintenance/job/changeJobStatus,post,src/api/maintenance/job/changeJobStatus.php
/api/maintenance/job/changeName,post,src/api/maintenance/job/changeName.php
/api/maintenance/job/changePriority,post,src/api/maintenance/job/changePriority.php
/api/maintenance/job/deleteJob,post,src/api/maintenance/job/deleteJob.php
/api/maintenance/job/removeAsset,post,src/api/maintenance/job/removeAsset.php
/api/maintenance/job/sendMessage,post,src/api/maintenance/job/sendMessage.php
/api/maintenance/job/tagUser,post,src/api/maintenance/job/tagUser.php
/api/maintenance/job/unTagUser,post,src/api/maintenance/job/unTagUser.php
/api/maintenance/newJob,post,src/api/maintenance/newJob.php
/api/maintenance/searchAsset,post,src/api/maintenance/searchAsset.php
/api/maintenance/searchUser,post,src/api/maintenance/searchUser.php
/api/manufacturer/new,post,src/api/manufacturer/new.php
/api/manufacturer/search,post,src/api/manufacturer/search.php
/api/modules/edit,post,src/api/modules/edit.php
/api/modules/new,post,src/api/modules/new.php
/api/modules/steps/edit,post,src/api/modules/steps/edit.php
/api/modules/steps/new,post,src/api/modules/steps/new.php
/api/modules/steps/sortRank,post,src/api/modules/steps/sortRank.php
/api/notifications/email/email,get,src/api/notifications/email/email.php
/api/notifications/main,get,src/api/notifications/main.php
/api/notifications/notificationTypes,get,src/api/notifications/notificationTypes.php
/api/onlineCheck,get,src/api/onlineCheck.php
/api/openApiYAMLHeaders,get,src/api/openApiYAMLHeaders.php
/api/permissions/instancePermissionsEditor,post,src/api/permissions/instancePermissionsEditor.php
/api/permissions/newInstancePosition,post,src/api/permissions/newInstancePosition.php
/api/permissions/permissionsEditor,post,src/api/permissions/permissionsEditor.php
/api/projects/archive,post,src/api/projects/archive.php
/api/projects/assets/assign,post,src/api/projects/assets/assign.php
/api/projects/assets/setComment,post,src/api/projects/assets/setComment.php
/api/projects/assets/setDiscount,post,src/api/projects/assets/setDiscount.php
/api/projects/assets/setPrice,post,src/api/projects/assets/setPrice.php
/api/projects/assets/setStatus,post,src/api/projects/assets/setStatus.php
/api/projects/assets/setStatusBarcode,post,src/api/projects/assets/setStatusBarcode.php
/api/projects/assets/setStatusByTag,post,src/api/projects/assets/setStatusByTag.php
/api/projects/assets/statusList,post,src/api/projects/assets/statusList.php
/api/projects/assets/swap,post,src/api/projects/assets/swap.php
/api/projects/assets/unassign,post,src/api/projects/assets/unassign.php
/api/projects/changeClient,post,src/api/projects/changeClient.php
/api/projects/changeDeliveryNotes,post,src/api/projects/changeDeliveryNotes.php
/api/projects/changeDescription,post,src/api/projects/changeDescription.php
/api/projects/changeInvoiceNotes,post,src/api/projects/changeInvoiceNotes.php
/api/projects/changeName,post,src/api/projects/changeName.php
/api/projects/changeProjectDates,post,src/api/projects/changeProjectDates.php
/api/projects/changeProjectDeliverDates,post,src/api/projects/changeProjectDeliverDates.php
/api/projects/changeProjectFinanceDurationMaths,post,src/api/projects/changeProjectFinanceDurationMaths.php
/api/projects/changeProjectManager,post,src/api/projects/changeProjectManager.php
/api/projects/changeProjectType,post,src/api/projects/changeProjectType.php
/api/projects/changeStatus,post,src/api/projects/changeStatus.php
/api/projects/changeSubProject,post,src/api/projects/changeSubProject.php
/api/projects/changeVenue,post,src/api/projects/changeVenue.php
/api/projects/crew/assign,post,src/api/projects/crew/assign.php
/api/projects/crew/crewRoles/accept,post,src/api/projects/crew/crewRoles/accept.php
/api/projects/crew/crewRoles/applicationList,post,src/api/projects/crew/crewRoles/applicationList.php
/api/projects/crew/crewRoles/apply,post,src/api/projects/crew/crewRoles/apply.php
/api/projects/crew/crewRoles/edit,post,src/api/projects/crew/crewRoles/edit.php
/api/projects/crew/crewRoles/list,post,src/api/projects/crew/crewRoles/list.php
